W1,POS1,RELATION,W2,POS2,PRIORITY
便宜,a,MotivatedByGoal,买房子,n,
搭火车,v,MotivatedByGoal,出差,v,
赚钱,v,MotivatedByGoal,买车,n,
工作,v,MotivatedByGoal,买车,n,
买车,n,MotivatedByGoal,车,n,
买车,n,MotivatedByGoal,车子,n,
存钱,v,MotivatedByGoal,买车,n,
买车,n,MotivatedByGoal,方便,a,
买车,n,MotivatedByGoal,开车,v,
买车,n,MotivatedByGoal,中乐透,n,
买车,n,MotivatedByGoal,代步,n,
买车,n,MotivatedByGoal,把妹,v,
买车,n,MotivatedByGoal,出去玩,n,
开车,v,MotivatedByGoal,接送,v,
生活,v,MotivatedByGoal,服务,v,
网购,n,MotivatedByGoal,白马马力夯,n,
网购,n,MotivatedByGoal,苏打绿的专辑,n,
上网,v,MotivatedByGoal,网购,n,
看电视,v,MotivatedByGoal,综艺节目,n,
游戏,n,MotivatedByGoal,无聊,a,
读书,n,MotivatedByGoal,充实自己,v,
充实自己,v,MotivatedByGoal,工作,v,
唸书,v,MotivatedByGoal,充实自己,v,
充实自己,v,MotivatedByGoal,女朋友,n,
看书,v,MotivatedByGoal,充实自己,v,
念书,n,MotivatedByGoal,充实自己,v,
充实自己,v,MotivatedByGoal,男朋友,n,
充实自己,v,MotivatedByGoal,钱,n,
充实自己,v,MotivatedByGoal,人爱,v,
工作,v,MotivatedByGoal,充实自己,v,
充实自己,v,MotivatedByGoal,女人,n,
充实自己,v,MotivatedByGoal,成就,n,
充实自己,v,MotivatedByGoal,美好的人生,n,
充实自己,v,MotivatedByGoal,好工作,n,
充实自己,v,MotivatedByGoal,快乐的生活,n,
充实自己,v,MotivatedByGoal,女友,n,
充实自己,v,MotivatedByGoal,财富,n,
充实自己,v,MotivatedByGoal,人追,v,
带手机,v,MotivatedByGoal,出门去,v,
带手机,v,MotivatedByGoal,出门,v,
带手机,v,MotivatedByGoal,逛一中,v,
带手机,v,MotivatedByGoal,爬山,n,
带手机,v,MotivatedByGoal,逛街,v,
自己开车,v,MotivatedByGoal,去101,v,
散步,n,MotivatedByGoal,休息,v,
走路,n,MotivatedByGoal,散步,n,
散步,n,MotivatedByGoal,放松,v,
散步,n,MotivatedByGoal,吃饱,v,
运动,v,MotivatedByGoal,健康,a,
运动,v,MotivatedByGoal,减肥,v,
运动,v,MotivatedByGoal,健康的身体,n,
运动,v,MotivatedByGoal,好身材,n,
跑步,n,MotivatedByGoal,运动,v,
抽卫生纸,v,MotivatedByGoal,使用,v,
交朋友,n,MotivatedByGoal,朋友,n,
玩手机,v,MotivatedByGoal,上课,v,
玩手机,v,MotivatedByGoal,大便,v,
玩手机,v,MotivatedByGoal,无聊,a,
揍他,v,MotivatedByGoal,教育孩子,v,
爱他,v,MotivatedByGoal,教育孩子,v,
过滤水,v,MotivatedByGoal,水,n,
上PTT,v,MotivatedByGoal,问问题,n,
问问题,n,MotivatedByGoal,常识点数,n,
问问题,n,MotivatedByGoal,看不懂,v,
问问题,n,MotivatedByGoal,上PTT,v,
听音乐,v,MotivatedByGoal,睡觉,v,
开电脑,v,MotivatedByGoal,听音乐,v,
听音乐,v,MotivatedByGoal,无聊,a,
开音响,v,MotivatedByGoal,听音乐,v,
戴耳机,v,MotivatedByGoal,听音乐,v,
听音乐,v,MotivatedByGoal,放松,v,
听音乐,v,MotivatedByGoal,看书,v,
唱歌,n,MotivatedByGoal,听音乐,v,
听音乐,v,MotivatedByGoal,开心,v,
放cd,v,MotivatedByGoal,听音乐,v,
极限运动,n,MotivatedByGoal,快感,a,
听歌,v,MotivatedByGoal,无聊,a,
开电脑,v,MotivatedByGoal,听歌,v,
听歌,v,MotivatedByGoal,唱歌,n,
开音响,v,MotivatedByGoal,听歌,v,
开收音机,v,MotivatedByGoal,听歌,v,
唱歌,n,MotivatedByGoal,听歌,v,
听歌,v,MotivatedByGoal,想听歌,v,
叫服务生,v,MotivatedByGoal,点餐,v,
思考,v,MotivatedByGoal,点餐,v,
看看钱够不够,v,MotivatedByGoal,点餐,v,
看menu,v,MotivatedByGoal,点餐,v,
阅读菜单,v,MotivatedByGoal,点餐,v,
找位置,v,MotivatedByGoal,点餐,v,
排队,n,MotivatedByGoal,点餐,v,
研究菜单,v,MotivatedByGoal,点餐,v,
听服务生介绍,v,MotivatedByGoal,点餐,v,
小叮当,n,NotDesires,老鼠,n,
看电视,v,NotDesires,广告,n,
孩子,n,NotDesires,妈妈,n,
孩子,n,NotDesires,被打,v,
公司,n,NotDesires,倒闭,v,
保安人员,n,NotDesires,上夜班,v,
青春期的女儿,n,NotDesires,上补习班,v,
上班族,n,NotDesires,加班,v,
员工,n,NotDesires,加班,v,
老师,n,NotDesires,加班,v,
爸爸,n,NotDesires,加班,v,
人,n,NotDesires,加班,v,
职员,n,NotDesires,加班,v,
公务员,n,NotDesires,加班,v,
劳工,v,NotDesires,加班,v,
大家,n,NotDesires,加班,v,
工程师,n,NotDesires,加班,v,
工人,n,NotDesires,加班,v,
宅男,n,NotDesires,出门,v,
爸爸,n,NotDesires,妈妈,n,
妈妈,n,NotDesires,爸爸,n,
爸爸,n,NotDesires,失业,n,
学生,n,NotDesires,早起,v,
大学生,n,NotDesires,早起,v,
上班族,n,NotDesires,早起,v,
,,NotDesires,早起,v,
父母,n,NotDesires,没钱,v,
父母,n,NotDesires,坏小孩,n,
父母,n,NotDesires,坏孩子,n,
学生,n,NotDesires,父母,n,
小孩,n,NotDesires,父母,n,
小孩,n,NotDesires,妈妈,n,
爸爸,n,NotDesires,妈妈,n,
妈妈,n,NotDesires,蟑螂,n,
妈妈,n,NotDesires,老鼠,n,
妈妈,n,NotDesires,坏小孩,n,
大雄,n,NotDesires,妈妈,n,
不会时,v,NotDesires,问题,n,
妈妈,n,NotDesires,做饭,v,
老婆,n,NotDesires,做饭,v,
学生,n,NotDesires,写作业,v,
小孩,n,NotDesires,写作业,v,
上班族,n,NotDesires,打卡,v,
人,n,NotDesires,忙,v,
殭尸,n,NotDesires,灯,n,
电脑,n,NotDesires,木马,n,
学生,n,NotDesires,作业,n,
小朋友,n,NotDesires,作业,n,
小孩,n,NotDesires,作业,n,
,,NotDesires,作业,n,
同学,n,NotDesires,作业,n,
小学生,n,NotDesires,作业,n,
老师,n,NotDesires,作业,n,
大学生,n,NotDesires,作业,n,
小胖,n,NotDesires,肥胖,a,
小胖,n,NotDesires,悲伤,a,
小胖,n,NotDesires,身体不舒服,v,
老师,n,NotDesires,麻烦,a,
男人,n,NotDesires,麻烦,a,
老板,n,NotDesires,麻烦,a,
台风,n,NotDesires,出差,v,
上班,v,NotDesires,出差,v,
记者,n,NotDesires,出差,v,
老师,n,NotDesires,麻烦事,n,
睡觉,v,NotDesires,接电话,n,
吃饭,v,NotDesires,接电话,n,
很想休息,v,NotDesires,接电话,n,
接电话,n,NotDesires,诈骗集团,v,
想休息,v,NotDesires,接电话,n,
宅男,n,NotDesires,名牌,n,
综艺节目,n,NotDesires,录到鬼,v,
银行,n,NotDesires,抢匪,v,
银行,n,NotDesires,没钱,v,
模型,n,NotDesires,机器人,n,
学生,n,NotDesires,课本,n,
狗狗,n,NotDesires,被打,v,
猫咪,n,NotDesires,狗狗,n,
朋友,n,NotDesires,背叛,v,
机车,n,PartOf,通勤,v,
码表,n,PartOf,手表,n,
小夜灯,n,PartOf,深夜唯一光明,n,
小夜灯,n,PartOf,家电,v,
小夜灯,n,PartOf,电器用品,n,
小夜灯,n,PartOf,照明设备,n,
耳机,n,PartOf,生活,v,
耳机,n,PartOf,随身听,n,
耳机,n,PartOf,听音乐,v,
耳机,n,PartOf,手机,n,
耳机,n,PartOf,电脑,n,
电子零组件,n,PartOf,电子产品,n,
滑鼠,n,PartOf,电子产品,n,
码表,n,PartOf,电子产品,n,
遥控器,n,PartOf,电视,n,
遥控器,n,PartOf,电器,n,
遥控器,n,PartOf,生活,v,
遥控器,n,PartOf,冷气,n,
按钮,n,PartOf,遥控器,n,
品牌,n,PartOf,产品,n,
包租婆,n,PartOf,故事,n,
冷气机,n,PartOf,家电,v,
品牌,n,PartOf,产品,n,
法拉利,n,PartOf,品牌,n,
品牌,n,PartOf,公司,n,
饼干,n,PartOf,品牌,n,
品牌,n,PartOf,品牌管理,v,
品牌形象,n,PartOf,公司,n,
品牌形象,n,PartOf,行销,v,
品牌形象,n,PartOf,要赚钱,v,
品牌形象,n,PartOf,企业,n,
空调,n,PartOf,冷气,n,
空调,n,PartOf,房间,n,
冷气机,n,PartOf,空调,n,
空调,n,PartOf,办公室,n,
空调,n,PartOf,家里,a,
空调,n,PartOf,大楼,n,
空调,n,PartOf,夏天,n,
空调,n,PartOf,公共场所,n,
电风扇,n,PartOf,空调,n,
平衡,a,PartOf,生态链,n,
音响,n,PartOf,音乐,n,
音响,n,PartOf,生活,v,
音响,n,PartOf,喇叭,n,
声带,n,PartOf,声音,n,
音乐,n,PartOf,声音,n,
厕所,n,PartOf,公寓,n,
网购,n,PartOf,消费,v,
吹风机,n,PartOf,电器,n,
灯,n,PartOf,家,n,
灯,n,PartOf,房间,n,
菜单,n,PartOf,服务,v,
网购,n,PartOf,消费,v,
网购,n,PartOf,购物,n,
钱,n,PartOf,银行,n,
纸巾,n,PartOf,餐桌,n,
纸巾,n,PartOf,纸类,n,
朋友,n,PartOf,生活,v,
朋友,n,PartOf,人生,n,
密码,n,PartOf,防盗,v,
闹钟,n,PartOf,提醒,v,
插画,n,PartOf,绘本,n,
广告,n,RelatedTo,项,n,
卧室,n,RelatedTo,间,a,
卧室,n,RelatedTo,间,a,
产品,n,RelatedTo,个,n,
价格,n,RelatedTo,个,n,
价格,n,RelatedTo,个,n,
内容,n,RelatedTo,项,n,
内容,n,RelatedTo,个,n,
内容,n,RelatedTo,个,n,
年龄,n,RelatedTo,个,n,
年龄,n,RelatedTo,把,v,
年龄,n,RelatedTo,个,n,
空调,n,RelatedTo,台,n,
合作,v,RelatedTo,个,n,
合作,v,RelatedTo,个,n,
公寓,n,RelatedTo,套,n,
消费,v,RelatedTo,个,n,
便,v,RelatedTo,便宜,a,
服务,v,RelatedTo,项,n,
服务,v,RelatedTo,项,n,
平板电脑,n,RelatedTo,台,n,
平板电脑,n,RelatedTo,台,n,
设备,v,RelatedTo,个,n,
纸巾,n,RelatedTo,张,n,
纸巾,n,RelatedTo,张,n,
岔曲,n,RelatedTo,说唱,v,
摄像机,n,RelatedTo,部,n,
亲戚,n,RelatedTo,个,n,
亲戚,n,RelatedTo,门,n,
亲戚,n,RelatedTo,门,n,
电视剧,n,RelatedTo,部,n,
站长,v,RelatedTo,网站,n,
黑色,n,SymbolOf,晚上,n,
情人节,n,IsA,节日,n,
花,v,SymbolOf,节日,n,
手表,n,SymbolOf,时间,n,
电脑,n,SymbolOf,产品,n,
红色,n,IsA,颜色,n,0
黄色,n,IsA,颜色,n,0
紫色,n,IsA,颜色,n,0
绿色,n,IsA,颜色,n,0
黑色,n,IsA,颜色,n,0
蓝色,n,IsA,颜色,n,0
灰色,n,IsA,颜色,n,0
白色,n,IsA,颜色,n,0
橘色,n,IsA,颜色,n,0
黄,a,IsA,颜色,n,0
唱歌,n,SymbolOf,声音好听,v,
家乐福,n,SymbolOf,便宜,a,
作业,n,SymbolOf,痛苦,a,
白色,n,SymbolOf,纯洁,a,
白色,n,SymbolOf,干净,a,
白色,n,SymbolOf,医院,n,
白色,n,SymbolOf,空白,n,
白色,n,SymbolOf,和平,n,
白色,n,SymbolOf,单纯,a,
白色,n,SymbolOf,医生,n,
白色,n,SymbolOf,雪,n,
白色,n,SymbolOf,丧事,v,
白色,n,SymbolOf,天使,n,
白色,n,SymbolOf,护士,n,
白色,n,SymbolOf,纯净,a,
白色,n,SymbolOf,洁净,n,
白色,n,SymbolOf,无瑕,n,
白色,n,SymbolOf,无暇,v,
白色,n,SimilarTo,洁白,n,
社工,n,SymbolOf,服务,v,
卡哇依,n,Synonym,卡哇伊,n,0
手游,n,Synonym,手机游戏,n,0
咏春,n,Synonym,咏春拳,n,
公交,n,Synonym,公共交通,n,0
钱,n,UsedFor,买,v,
信用卡,n,UsedFor,买,v,
会员卡,n,UsedFor,买,v,
电脑,n,UsedFor,上网,v,
电脑,n,UsedFor,无聊,a,
看资讯,v,UsedFor,手机,n,
钱,n,UsedFor,买手机,n,
公车,n,UsedFor,通勤,v,
汽车,n,UsedFor,通勤,v,
脚踏车,n,UsedFor,通勤,v,
机车,n,UsedFor,通勤,v,
火车,n,UsedFor,通勤,v,
枕头,n,UsedFor,睡觉,v,
棉被,n,UsedFor,睡觉,v,
床,n,UsedFor,睡觉,v,
眼罩,n,UsedFor,睡觉,v,
汤匙,n,UsedFor,吃饭,v,
筷子,n,UsedFor,吃饭,v,
碗,n,UsedFor,吃饭,v,
叉子,n,UsedFor,吃饭,v,
钱,n,UsedFor,出去玩,n,
钥匙,n,UsedFor,出门,v,
雨伞,n,UsedFor,出门,v,
钱,n,UsedFor,出门,v,
鞋子,n,UsedFor,出门,v,
机车,n,UsedFor,出门,v,
车子,n,UsedFor,出门,v,
方向盘,n,UsedFor,开车,v,
钥匙,n,UsedFor,开车,v,
煞车,n,UsedFor,开车,v,
油门,n,UsedFor,开车,v,
手,n,UsedFor,开车,v,
眼睛,n,UsedFor,开车,v,
汽油,n,UsedFor,开车,v,
考试,v,UsedFor,手表,n,
手表,n,UsedFor,考试,v,
手机,n,UsedFor,打电话,n,
电话,n,UsedFor,打电话,n,
电话卡,n,UsedFor,打电话,n,
电话簿,n,UsedFor,打电话,n,
手,n,UsedFor,打电话,n,
电视,n,UsedFor,无聊,a,
电视,n,UsedFor,看电视,v,
时钟,n,UsedFor,设闹钟,v,
手指头,n,UsedFor,设闹钟,v,
眼睛,n,UsedFor,设闹钟,v,
音响,n,UsedFor,放音乐,v,
随身听,n,UsedFor,放音乐,v,
手机,n,UsedFor,打电话,n,
手机,n,UsedFor,聊天,n,
手机,n,UsedFor,找人,v,
小夜灯,n,UsedFor,睡觉,v,
小夜灯,n,UsedFor,直接去睡,v,
小夜灯,n,UsedFor,睡著,v,
麦克风,n,UsedFor,唱歌,n,
遥控器,n,UsedFor,看电视,v,
眼睛,n,UsedFor,看电视,v,
时间,n,UsedFor,看手表,v,
耳机,n,UsedFor,听音乐,v,
耳机,n,UsedFor,听歌,v,
耳机,n,UsedFor,玩电脑,n,
耳机,n,UsedFor,打电脑,v,
耳机,n,UsedFor,听广播,v,
耳机,n,UsedFor,讲电话,v,
耳机,n,UsedFor,听,v,
耳机,n,UsedFor,有MP3,v,
耳机,n,UsedFor,拿MP3,v,
耳机,n,UsedFor,开音乐,v,
耳机,n,UsedFor,睡觉,v,
钱,n,UsedFor,玩乐,n,
遥控器,n,UsedFor,看电视,v,
遥控器,n,UsedFor,转台,v,
遥控器,n,UsedFor,开电视,v,
遥控器,n,UsedFor,点歌,n,
遥控器,n,UsedFor,吹冷气,n,
遥控器,n,UsedFor,转频道,v,
遥控器,n,UsedFor,电视,n,
遥控器,n,UsedFor,唱歌,n,
遥控器,n,UsedFor,开音响,v,
遥控器,n,UsedFor,打电动,v,
解答,v,UsedFor,问题,n,
颜色,n,UsedFor,画画,n,
空调,n,UsedFor,吹冷气,n,
厨房,n,UsedFor,做饭,v,
音响,n,UsedFor,听音乐,v,
音响,n,UsedFor,唱歌,n,
音响,n,UsedFor,开音乐,v,
音响,n,UsedFor,听歌,v,
音响,n,UsedFor,跳舞,v,
音响,n,UsedFor,打电脑,v,
音响,n,UsedFor,玩电脑,n,
音响,n,UsedFor,放音乐,v,
铅笔,n,UsedFor,写作业,v,
笔,n,UsedFor,写作业,v,
立可白,n,UsedFor,写作业,v,
橡皮擦,n,UsedFor,写作业,v,
电脑,n,UsedFor,写作业,v,
纸,n,UsedFor,写作业,v,
原子笔,n,UsedFor,写作业,v,
课本,n,UsedFor,写作业,v,
立可带,v,UsedFor,写作业,v,
钥匙,n,UsedFor,回家,n,
打卡,v,UsedFor,下班,v,
打卡,v,UsedFor,工作,v,
卡,n,UsedFor,打卡,v,
充电器,n,UsedFor,充电,v,
音箱,n,UsedFor,放音乐,v,
音箱,n,UsedFor,弹吉他,v,
音箱,n,UsedFor,演唱会,n,
声音,n,UsedFor,唱歌,n,
声音,n,UsedFor,说梦话,n,
吹风机,n,UsedFor,吹头发,n,
吹风机,n,UsedFor,洗澡,v,
吹风机,n,UsedFor,剪头发,n,
吹风机,n,UsedFor,洗头,v,
吹风机,n,UsedFor,洗完澡,v,
灯,n,UsedFor,看书,v,
灯,n,UsedFor,读书,n,
灯,n,UsedFor,唸书,v,
灯,n,UsedFor,睡觉,v,
灯,n,UsedFor,看电视,v,
玩具,n,UsedFor,无聊,a,
玩具,n,UsedFor,玩耍,v,
高铁,n,UsedFor,出差,v,
纸,n,UsedFor,出差,v,
笔,n,UsedFor,出差,v,
笔电,n,UsedFor,出差,v,
行李箱,n,UsedFor,出差,v,
车票,n,UsedFor,出差,v,
台汽,v,UsedFor,出差,v,
航空公司,n,UsedFor,出差,v,
银行,n,UsedFor,存钱,v,
银行,n,UsedFor,洗钱,v,
银行,n,UsedFor,中大乐透,v,
纸巾,n,UsedFor,流口水,n,
纸巾,n,UsedFor,吃饭,v,
纸巾,n,UsedFor,上厕所,v,
纸巾,n,UsedFor,吃牛排,v,
纸巾,n,UsedFor,哭,v,
纸巾,n,UsedFor,流鼻水,n,
纸巾,n,UsedFor,擦屁股,n,
纸巾,n,UsedFor,吃面,v,
纸巾,n,UsedFor,痛哭,v,
纸巾,n,UsedFor,喝饮料,v,
纸巾,n,UsedFor,大便,v,
纸巾,n,UsedFor,擦手,v,
纸巾,n,UsedFor,吃比萨,v,
课本,n,UsedFor,上课,v,
课本,n,UsedFor,读书,n,
课本,n,UsedFor,上学,n,
课本,n,UsedFor,写作业,v,
朋友,n,UsedFor,难过,v,
手机,n,UsedFor,玩手机,v,
手指,n,UsedFor,玩手机,v,
手,n,UsedFor,玩手机,v,
提醒,v,UsedFor,设闹钟,v,
网站,n,UsedFor,上网,v,
嘴巴,n,UsedFor,问问题,n,
耳机,n,UsedFor,听音乐,v,
电脑,n,UsedFor,听音乐,v,
耳机,n,UsedFor,听歌,v,
音响,n,UsedFor,听歌,v,
耳朵,n,UsedFor,听歌,v,
喇叭,n,UsedFor,听歌,v,
